Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
New Testament,1 Corinthians,12,22,11,"Nay, much more those members of the body, which seem to be more feeble, are necessary:",31
New Testament,Matthew,25,18,11,"But he that had received one went and digged in the earth, and hid his lord’s money.",46
Doctrine and Covenants,Doctrine and Covenants,122,9,11,"Therefore, hold on thy way, and the priesthood shall remain with thee; for their bounds are set, they cannot pass. Thy days are known, and thy years shall not be numbered less; therefore, fear not what man can do, for God shall be with you forever and ever.",9
Book of Mormon,2 Nephi,9,18,11,"But, behold, the righteous, the saints of the Holy One of Israel, they who have believed in the Holy One of Israel, they who have endured the crosses of the world, and despised the shame of it, they shall inherit the kingdom of God, which was prepared for them from the foundation of the world, and their joy shall be full forever.",54
New Testament,Matthew,25,15,11,"And unto one he gave five talents, to another two, and to another one; to every man according to his several ability; and straightway took his journey.",46
New Testament,Matthew,25,12,11,"But he answered and said, Verily I say unto you, I know you not.",46
New Testament,Matthew,25,25,11,"And I was afraid, and went and hid thy talent in the earth: lo, there thou hast that is thine.",46
New Testament,Matthew,25,24,11,"Then he which had received the one talent came and said, Lord, I knew thee that thou art an hard man, reaping where thou hast not sown, and gathering where thou hast not strawed:",46
Doctrine and Covenants,Doctrine and Covenants,19,17,11,But if they would not repent they must suffer even as I;,41
New Testament,Matthew,25,26,11,"His lord answered and said unto him, Thou wicked and slothful servant, thou knewest that I reap where I sowed not, and gather where I have not strawed:",46
Doctrine and Covenants,Doctrine and Covenants,76,43,11,"Who glorifies the Father, and saves all the works of his hands, except those sons of perdition who deny the Son after the Father has revealed him.",119
Doctrine and Covenants,Doctrine and Covenants,1,15,11,"For they have strayed from mine ordinances, and have broken mine everlasting covenant;",39
Old Testament,Isaiah,9,6,11,"For unto us a child is born, unto us a son is given: and the government shall be upon his shoulder: and his name shall be called Wonderful, Counsellor, The mighty God, The everlasting Father, The Prince of Peace.",21
New Testament,Matthew,5,9,11,Blessed are the peacemakers: for they shall be called the children of God.,48
Doctrine and Covenants,Doctrine and Covenants,20,29,11,"And we know that all men must repent and believe on the name of Jesus Christ, and worship the Father in his name, and endure in faith on his name to the end, or they cannot be saved in the kingdom of God.",84
Doctrine and Covenants,Doctrine and Covenants,20,47,11,"And visit the house of each member, and exhort them to pray vocally and in secret and attend to all family duties.",84
New Testament,Matthew,25,23,11,"His lord said unto him, Well done, good and faithful servant; thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord.",46
Book of Mormon,Alma,40,23,10,"The soul shall be restored to the body, and the body to the soul; yea, and every limb and joint shall be restored to its body; yea, even a hair of the head shall not be lost; but all things shall be restored to their proper and perfect frame.",26
Book of Mormon,1 Nephi,11,33,10,"And I, Nephi, saw that he was lifted up upon the cross and slain for the sins of the world.",36
Book of Mormon,Mosiah,4,11,10,"And again I say unto you as I have said before, that as ye have come to the knowledge of the glory of God, or if ye have known of his goodness and have tasted of his love, and have received a remission of your sins, which causeth such exceedingly great joy in your souls, even so I would that ye should remember, and always retain in remembrance, the greatness of God, and your own nothingness, and his goodness and long-suffering towards you, unworthy creatures, and humble yourselves even in the depths of humility, calling on the name of the Lord daily, and standing steadfastly in the faith of that which is to come, which was spoken by the mouth of the angel.",30
New Testament,2 Timothy,3,2,10,"For men shall be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,",17
New Testament,John,4,26,10,"Jesus saith unto her, I that speak unto thee am he.",54
New Testament,Luke,10,30,10,"And Jesus answering said, A certain man went down from Jerusalem to Jericho, and fell among thieves, which stripped him of his raiment, and wounded him, and departed, leaving him half dead.",42
Doctrine and Covenants,Doctrine and Covenants,21,6,10,"For by doing these things the gates of hell shall not prevail against you; yea, and the Lord God will disperse the powers of darkness from before you, and cause the heavens to shake for your good, and his name’s glory.",12
New Testament,Matthew,5,14,10,Ye are the light of the world. A city that is set on an hill cannot be hid.,48
New Testament,Luke,15,2,10,"And the Pharisees and scribes murmured, saying, This man receiveth sinners, and eateth with them.",32
New Testament,John,4,11,10,"The woman saith unto him, Sir, thou hast nothing to draw with, and the well is deep: from whence then hast thou that living water?",54
Book of Mormon,1 Nephi,11,25,10,"And it came to pass that I beheld that the rod of iron, which my father had seen, was the word of God, which led to the fountain of living waters, or to the tree of life; which waters are a representation of the love of God; and I also beheld that the tree of life was a representation of the love of God.",36
Book of Mormon,Jacob,4,14,10,"But behold, the Jews were a stiffnecked people; and they despised the words of plainness, and killed the prophets, and sought for things that they could not understand. Wherefore, because of their blindness, which blindness came by looking beyond the mark, they must needs fall; for God hath taken away his plainness from them, and delivered unto them many things which they cannot understand, because they desired it. And because they desired it God hath done it, that they may stumble.",18
New Testament,John,4,13,10,"Jesus answered and said unto her, Whosoever drinketh of this water shall thirst again:",54
New Testament,John,4,12,10,"Art thou greater than our father Jacob, which gave us the well, and drank thereof himself, and his children, and his cattle?",54
New Testament,Luke,10,33,10,"But a certain Samaritan, as he journeyed, came where he was: and when he saw him, he had compassion on him,",42
New Testament,John,4,22,10,Ye worship ye know not what: we know what we worship: for salvation is of the Jews.,54
New Testament,John,4,21,10,"Jesus saith unto her, Woman, believe me, the hour cometh, when ye shall neither in this mountain, nor yet at Jerusalem, worship the Father.",54
Book of Mormon,3 Nephi,17,20,10,"And they arose from the earth, and he said unto them: Blessed are ye because of your faith. And now behold, my joy is full.",25
New Testament,Romans,8,18,10,For I reckon that the sufferings of this present time are not worthy to be compared with the glory which shall be revealed in us.,39
Book of Mormon,Enos,1,7,10,"And I said: Lord, how is it done?",27
New Testament,Matthew,28,20,10,"Teaching them to observe all things whatsoever I have commanded you: and, lo, I am with you alway, even unto the end of the world. Amen.",20
Doctrine and Covenants,Doctrine and Covenants,58,27,10,"Verily I say, men should be anxiously engaged in a good cause, and do many things of their own free will, and bring to pass much righteousness;",65
Doctrine and Covenants,Doctrine and Covenants,84,22,10,"For without this no man can see the face of God, even the Father, and live.",120
Book of Mormon,3 Nephi,17,10,10,"And they did all, both they who had been healed and they who were whole, bow down at his feet, and did worship him; and as many as could come for the multitude did kiss his feet, insomuch that they did bathe his feet with their tears.",25
Book of Mormon,1 Nephi,8,10,10,"And it came to pass that I beheld a tree, whose fruit was desirable to make one happy.",38
Doctrine and Covenants,Doctrine and Covenants,84,33,10,"For whoso is faithful unto the obtaining these two priesthoods of which I have spoken, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies.",120
Book of Mormon,3 Nephi,18,12,10,"And I give unto you a commandment that ye shall do these things. And if ye shall always do these things blessed are ye, for ye are built upon my rock.",39
New Testament,Mark,2,5,10,"When Jesus saw their faith, he said unto the sick of the palsy, Son, thy sins be forgiven thee.",28
Old Testament,Isaiah,40,31,10,"But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",31
Book of Mormon,Mosiah,5,15,10,"Therefore, I would that ye should be steadfast and immovable, always abounding in good works, that Christ, the Lord God Omnipotent, may seal you his, that you may be brought to heaven, that ye may have everlasting salvation and eternal life, through the wisdom, and power, and justice, and mercy of him who created all things, in heaven and in earth, who is God above all. Amen.",15
Doctrine and Covenants,Doctrine and Covenants,138,55,10,I observed that they were also among the noble and great ones who were chosen in the beginning to be rulers in the Church of God.,60
Doctrine and Covenants,Doctrine and Covenants,84,46,10,"And the Spirit giveth light to every man that cometh into the world; and the Spirit enlighteneth every man through the world, that hearkeneth to the voice of the Spirit.",120
Book of Mormon,Moroni,7,24,10,"And behold, there were divers ways that he did manifest things unto the children of men, which were good; and all things which are good cometh of Christ; otherwise men were fallen, and there could no good thing come unto them.",48
Doctrine and Covenants,Doctrine and Covenants,84,35,10,"And also all they who receive this priesthood receive me, saith the Lord;",120
New Testament,1 Corinthians,12,26,10,"And whether one member suffer, all the members suffer with it; or one member be honoured, all the members rejoice with it.",31
Pearl of Great Price,Joseph Smith—History,1,13,10,"At length I came to the conclusion that I must either remain in darkness and confusion, or else I must do as James directs, that is, ask of God. I at length came to the determination to “ask of God,” concluding that if he gave wisdom to them that lacked wisdom, and would give liberally, and not upbraid, I might venture.",75
New Testament,2 Timothy,3,1,10,"This know also, that in the last days perilous times shall come.",17
New Testament,John,4,20,10,"Our fathers worshipped in this mountain; and ye say, that in Jerusalem is the place where men ought to worship.",54
Book of Mormon,2 Nephi,31,1,10,"And now I, Nephi, make an end of my prophesying unto you, my beloved brethren. And I cannot write but a few things, which I know must surely come to pass; neither can I write but a few of the words of my brother Jacob.",21
New Testament,1 Corinthians,12,24,10,"For our comely parts have no need: but God hath tempered the body together, having given more abundant honour to that part which lacked:",31
New Testament,1 Corinthians,12,25,10,That there should be no schism in the body; but that the members should have the same care one for another.,31
Book of Mormon,3 Nephi,17,17,10,"And no tongue can speak, neither can there be written by any man, neither can the hearts of men conceive so great and marvelous things as we both saw and heard Jesus speak; and no one can conceive of the joy which filled our souls at the time we heard him pray for us unto the Father.",25
Book of Mormon,Alma,32,40,10,"And thus, if ye will not nourish the word, looking forward with an eye of faith to the fruit thereof, ye can never pluck of the fruit of the tree of life.",43
Pearl of Great Price,Articles of Faith,1,13,10,"We believe in being honest, true, chaste, benevolent, virtuous, and in doing good to all men; indeed, we may say that we follow the admonition of Paul—We believe all things, we hope all things, we have endured many things, and hope to be able to endure all things. If there is anything virtuous, lovely, or of good report or praiseworthy, we seek after these things.",13
New Testament,John,4,8,10,(For his disciples were gone away unto the city to buy meat.),54
New Testament,John,4,7,10,"There cometh a woman of Samaria to draw water: Jesus saith unto her, Give me to drink.",54
Book of Mormon,Alma,34,8,10,"And now, behold, I will testify unto you of myself that these things are true. Behold, I say unto you, that I do know that Christ shall come among the children of men, to take upon him the transgressions of his people, and that he shall atone for the sins of the world; for the Lord God hath spoken it.",41
Book of Mormon,Alma,32,29,10,"Now behold, would not this increase your faith? I say unto you, Yea; nevertheless it hath not grown up to a perfect knowledge.",43
Doctrine and Covenants,Doctrine and Covenants,109,24,10,"We ask thee, Holy Father, to establish the people that shall worship, and honorably hold a name and standing in this thy house, to all generations and for eternity;",80
Doctrine and Covenants,Doctrine and Covenants,138,31,10,"And the chosen messengers went forth to declare the acceptable day of the Lord and proclaim liberty to the captives who were bound, even unto all who would repent of their sins and receive the gospel.",60
Doctrine and Covenants,Doctrine and Covenants,138,32,10,"Thus was the gospel preached to those who had died in their sins, without a knowledge of the truth, or in transgression, having rejected the prophets.",60
Doctrine and Covenants,Doctrine and Covenants,138,33,10,"These were taught faith in God, repentance from sin, vicarious baptism for the remission of sins, the gift of the Holy Ghost by the laying on of hands,",60
New Testament,Luke,15,7,10,"I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",32
Book of Mormon,2 Nephi,1,15,10,"But behold, the Lord hath redeemed my soul from hell; I have beheld his glory, and I am encircled about eternally in the arms of his love.",32
Book of Mormon,2 Nephi,9,10,10,"O how great the goodness of our God, who prepareth a way for our escape from the grasp of this awful monster; yea, that monster, death and hell, which I call the death of the body, and also the death of the spirit.",54
New Testament,Matthew,25,29,10,"For unto every one that hath shall be given, and he shall have abundance: but from him that hath not shall be taken away even that which he hath.",46
New Testament,Matthew,25,30,10,And cast ye the unprofitable servant into outer darkness: there shall be weeping and gnashing of teeth.,46
Doctrine and Covenants,Doctrine and Covenants,18,15,10,"And if it so be that you should labor all your days in crying repentance unto this people, and bring, save it be one soul unto me, how great shall be your joy with him in the kingdom of my Father!",47
New Testament,John,4,15,10,"The woman saith unto him, Sir, give me this water, that I thirst not, neither come hither to draw.",54
New Testament,John,15,13,10,"Greater love hath no man than this, that a man lay down his life for his friends.",27
Pearl of Great Price,Moses,6,62,10,"And now, behold, I say unto you: This is the plan of salvation unto all men, through the blood of mine Only Begotten, who shall come in the meridian of time.",68
New Testament,Revelation,7,17,10,"For the Lamb which is in the midst of the throne shall feed them, and shall lead them unto living fountains of waters: and God shall wipe away all tears from their eyes.",17
Doctrine and Covenants,Doctrine and Covenants,88,91,10,"And all things shall be in commotion; and surely, men’s hearts shall fail them; for fear shall come upon all people.",141
Pearl of Great Price,Moses,1,5,10,"Wherefore, no man can behold all my works, except he behold all my glory; and no man can behold all my glory, and afterwards remain in the flesh on the earth.",42
Pearl of Great Price,Moses,1,10,10,"And it came to pass that it was for the space of many hours before Moses did again receive his natural strength like unto man; and he said unto himself: Now, for this cause I know that man is nothing, which thing I never had supposed.",42
Pearl of Great Price,Moses,1,9,10,"And the presence of God withdrew from Moses, that his glory was not upon Moses; and Moses was left unto himself. And as he was left unto himself, he fell unto the earth.",42
Pearl of Great Price,Moses,1,8,10,"And it came to pass that Moses looked, and beheld the world upon which he was created; and Moses beheld the world and the ends thereof, and all the children of men which are, and which were created; of the same he greatly marveled and wondered.",42
New Testament,Luke,8,43,10,"And a woman having an issue of blood twelve years, which had spent all her living upon physicians, neither could be healed of any,",56
New Testament,Luke,8,44,10,"Came behind him, and touched the border of his garment: and immediately her issue of blood stanched.",56
Doctrine and Covenants,Doctrine and Covenants,1,16,10,"They seek not the Lord to establish his righteousness, but every man walketh in his own way, and after the image of his own god, whose image is in the likeness of the world, and whose substance is that of an idol, which waxeth old and shall perish in Babylon, even Babylon the great, which shall fall.",39
Doctrine and Covenants,Doctrine and Covenants,1,17,10,"Wherefore, I the Lord, knowing the calamity which should come upon the inhabitants of the earth, called upon my servant Joseph Smith, Jun., and spake unto him from heaven, and gave him commandments;",39
Doctrine and Covenants,Doctrine and Covenants,1,14,10,"And the arm of the Lord shall be revealed; and the day cometh that they who will not hear the voice of the Lord, neither the voice of his servants, neither give heed to the words of the prophets and apostles, shall be cut off from among the people;",39
Book of Mormon,3 Nephi,27,7,10,"Therefore, whatsoever ye shall do, ye shall do it in my name; therefore ye shall call the church in my name; and ye shall call upon the Father in my name that he will bless the church for my sake.",33
New Testament,John,14,18,10,I will not leave you comfortless: I will come to you.,31
Book of Mormon,4 Nephi,1,17,10,"There were no robbers, nor murderers, neither were there Lamanites, nor any manner of -ites; but they were in one, the children of Christ, and heirs to the kingdom of God.",49
Doctrine and Covenants,Doctrine and Covenants,76,41,10,"That he came into the world, even Jesus, to be crucified for the world, and to bear the sins of the world, and to sanctify the world, and to cleanse it from all unrighteousness;",119
Doctrine and Covenants,Doctrine and Covenants,76,42,10,That through him all might be saved whom the Father had put into his power and made by him;,119
Doctrine and Covenants,Doctrine and Covenants,109,21,10,"And when thy people transgress, any of them, they may speedily repent and return unto thee, and find favor in thy sight, and be restored to the blessings which thou hast ordained to be poured out upon those who shall reverence thee in thy house.",80
Book of Mormon,Alma,26,13,10,"Behold, how many thousands of our brethren has he loosed from the pains of hell; and they are brought to sing redeeming love, and this because of the power of his word which is in us, therefore have we not great reason to rejoice?",37
Book of Mormon,Alma,36,24,10,"Yea, and from that time even until now, I have labored without ceasing, that I might bring souls unto repentance; that I might bring them to taste of the exceeding joy of which I did taste; that they might also be born of God, and be filled with the Holy Ghost.",30
Book of Mormon,Alma,36,26,10,"For because of the word which he has imparted unto me, behold, many have been born of God, and have tasted as I have tasted, and have seen eye to eye as I have seen; therefore they do know of these things of which I have spoken, as I do know; and the knowledge which I have is of God.",30
Book of Mormon,2 Nephi,10,24,10,"Wherefore, my beloved brethren, reconcile yourselves to the will of God, and not to the will of the devil and the flesh; and remember, after ye are reconciled unto God, that it is only in and through the grace of God that ye are saved.",25
Doctrine and Covenants,Doctrine and Covenants,137,9,10,"For I, the Lord, will judge all men according to their works, according to the desire of their hearts.",10
Book of Mormon,Alma,31,5,10,"And now, as the preaching of the word had a great tendency to lead the people to do that which was just—yea, it had had more powerful effect upon the minds of the people than the sword, or anything else, which had happened unto them—therefore Alma thought it was expedient that they should try the virtue of the word of God.",38
Pearl of Great Price,Abraham,2,8,10,"My name is Jehovah, and I know the end from the beginning; therefore my hand shall be over thee.",25
New Testament,Matthew,25,8,10,"And the foolish said unto the wise, Give us of your oil; for our lamps are gone out.",46
Book of Mormon,Helaman,5,11,10,"And he hath power given unto him from the Father to redeem them from their sins because of repentance; therefore he hath sent his angels to declare the tidings of the conditions of repentance, which bringeth unto the power of the Redeemer, unto the salvation of their souls.",52
Book of Mormon,2 Nephi,9,12,10,"And this death of which I have spoken, which is the spiritual death, shall deliver up its dead; which spiritual death is hell; wherefore, death and hell must deliver up their dead, and hell must deliver up its captive spirits, and the grave must deliver up its captive bodies, and the bodies and the spirits of men will be restored one to the other; and it is by the power of the resurrection of the Holy One of Israel.",54
Doctrine and Covenants,Doctrine and Covenants,20,19,10,"And gave unto them commandments that they should love and serve him, the only living and true God, and that he should be the only being whom they should worship.",84
New Testament,Matthew,14,31,10,"And immediately Jesus stretched forth his hand, and caught him, and said unto him, O thou of little faith, wherefore didst thou doubt?",36
Doctrine and Covenants,Doctrine and Covenants,20,46,10,"The priest’s duty is to preach, teach, expound, exhort, and baptize, and administer the sacrament,",84
New Testament,Matthew,25,11,10,"Afterward came also the other virgins, saying, Lord, Lord, open to us.",46
New Testament,Matthew,25,10,10,"And while they went to buy, the bridegroom came; and they that were ready went in with him to the marriage: and the door was shut.",46
Pearl of Great Price,Abraham,2,10,10,"And I will bless them through thy name; for as many as receive this Gospel shall be called after thy name, and shall be accounted thy seed, and shall rise up and bless thee, as their father;",25
Pearl of Great Price,Abraham,2,9,10,"And I will make of thee a great nation, and I will bless thee above measure, and make thy name great among all nations, and thou shalt be a blessing unto thy seed after thee, that in their hands they shall bear this ministry and Priesthood unto all nations;",25
New Testament,1 Corinthians,15,21,10,"For since by man came death, by man came also the resurrection of the dead.",58
Doctrine and Covenants,Doctrine and Covenants,107,19,10,"To have the privilege of receiving the mysteries of the kingdom of heaven, to have the heavens opened unto them, to commune with the general assembly and church of the Firstborn, and to enjoy the communion and presence of God the Father, and Jesus the mediator of the new covenant.",100
New Testament,1 Corinthians,12,18,10,"But now hath God set the members every one of them in the body, as it hath pleased him.",31
Doctrine and Covenants,Doctrine and Covenants,76,79,10,"These are they who are not valiant in the testimony of Jesus; wherefore, they obtain not the crown over the kingdom of our God.",119
Pearl of Great Price,Moses,5,11,10,"And Eve, his wife, heard all these things and was glad, saying: Were it not for our transgression we never should have had seed, and never should have known good and evil, and the joy of our redemption, and the eternal life which God giveth unto all the obedient.",59
Book of Mormon,Alma,42,14,10,"And thus we see that all mankind were fallen, and they were in the grasp of justice; yea, the justice of God, which consigned them forever to be cut off from his presence.",31
Doctrine and Covenants,Doctrine and Covenants,121,35,10,"Because their hearts are set so much upon the things of this world, and aspire to the honors of men, that they do not learn this one lesson—",46
Book of Mormon,Alma,34,17,10,"Therefore may God grant unto you, my brethren, that ye may begin to exercise your faith unto repentance, that ye begin to call upon his holy name, that he would have mercy upon you;",41
New Testament,1 Corinthians,12,21,10,"And the eye cannot say unto the hand, I have no need of thee: nor again the head to the feet, I have no need of you.",31
New Testament,1 Corinthians,12,20,10,"But now are they many members, yet but one body.",31
New Testament,1 Corinthians,12,19,10,"And if they were all one member, where were the body?",31
New Testament,1 Corinthians,12,17,10,"If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smelling?",31
New Testament,1 Corinthians,12,16,10,"And if the ear shall say, Because I am not the eye, I am not of the body; is it therefore not of the body?",31
New Testament,1 Corinthians,12,15,10,"If the foot shall say, Because I am not the hand, I am not of the body; is it therefore not of the body?",31
New Testament,1 Corinthians,12,14,10,"For the body is not one member, but many.",31
New Testament,Ephesians,2,19,10,"Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;",22
New Testament,1 Corinthians,12,13,9,"For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit.",31
Book of Mormon,Moroni,7,42,9,"Wherefore, if a man have faith he must needs have hope; for without faith there cannot be any hope.",48
Book of Mormon,Moroni,7,15,9,"For behold, my brethren, it is given unto you to judge, that ye may know good from evil; and the way to judge is as plain, that ye may know with a perfect knowledge, as the daylight is from the dark night.",48
Book of Mormon,Moroni,7,18,9,"And now, my brethren, seeing that ye know the light by which ye may judge, which light is the light of Christ, see that ye do not judge wrongfully; for with that same judgment which ye judge ye shall also be judged.",48
Book of Mormon,Moroni,7,22,9,"For behold, God knowing all things, being from everlasting to everlasting, behold, he sent angels to minister unto the children of men, to make manifest concerning the coming of Christ; and in Christ there should come every good thing.",48
Book of Mormon,Alma,34,28,9,"And now behold, my beloved brethren, I say unto you, do not suppose that this is all; for after ye have done all these things, if ye turn away the needy, and the naked, and visit not the sick and afflicted, and impart of your substance, if ye have, to those who stand in need—I say unto you, if ye do not any of these things, behold, your prayer is vain, and availeth you nothing, and ye are as hypocrites who do deny the faith.",41
Doctrine and Covenants,Doctrine and Covenants,101,16,9,"Therefore, let your hearts be comforted concerning Zion; for all flesh is in mine hands; be still and know that I am God.",101
Doctrine and Covenants,Doctrine and Covenants,76,89,9,"And thus we saw, in the heavenly vision, the glory of the telestial, which surpasses all understanding;",119
Doctrine and Covenants,Doctrine and Covenants,76,94,9,"They who dwell in his presence are the church of the Firstborn; and they see as they are seen, and know as they are known, having received of his fulness and of his grace;",119
New Testament,Romans,8,36,9,"As it is written, For thy sake we are killed all the day long; we are accounted as sheep for the slaughter.",39
New Testament,Matthew,25,6,9,"And at midnight there was a cry made, Behold, the bridegroom cometh; go ye out to meet him.",46
New Testament,Matthew,25,7,9,"Then all those virgins arose, and trimmed their lamps.",46
Doctrine and Covenants,Doctrine and Covenants,123,17,9,"Therefore, dearly beloved brethren, let us cheerfully do all things that lie in our power; and then may we stand still, with the utmost assurance, to see the salvation of God, and for his arm to be revealed.",17
Doctrine and Covenants,Doctrine and Covenants,128,18,9,"I might have rendered a plainer translation to this, but it is sufficiently plain to suit my purpose as it stands. It is sufficient to know, in this case, that the earth will be smitten with a curse unless there is a welding link of some kind or other between the fathers and the children, upon some subject or other—and behold what is that subject? It is the baptism for the dead. For we without them cannot be made perfect; neither can they without us be made perfect. Neither can they nor we be made perfect without those who have died in the gospel also; for it is necessary in the ushering in of the dispensation of the fulness of times, which dispensation is now beginning to usher in, that a whole and complete and perfect union, and welding together of dispensations, and keys, and powers, and glories should take place, and be revealed from the days of Adam even to the present time. And not only this, but those things which never have been revealed from the foundation of the world, but have been kept hid from the wise and prudent, shall be revealed unto babes and sucklings in this, the dispensation of the fulness of times.",25
Pearl of Great Price,Moses,5,10,9,"And in that day Adam blessed God and was filled, and began to prophesy concerning all the families of the earth, saying: Blessed be the name of God, for because of my transgression my eyes are opened, and in this life I shall have joy, and again in the flesh I shall see God.",59
Pearl of Great Price,Moses,4,3,9,"Wherefore, because that Satan rebelled against me, and sought to destroy the agency of man, which I, the Lord God, had given him, and also, that I should give unto him mine own power; by the power of mine Only Begotten, I caused that he should be cast down;",32
Pearl of Great Price,Moses,5,5,9,"And he gave unto them commandments, that they should worship the Lord their God, and should offer the firstlings of their flocks, for an offering unto the Lord. And Adam was obedient unto the commandments of the Lord.",59
Book of Mormon,Jacob,5,71,9,"And the Lord of the vineyard said unto them: Go to, and labor in the vineyard, with your might. For behold, this is the last time that I shall nourish my vineyard; for the end is nigh at hand, and the season speedily cometh; and if ye labor with your might with me ye shall have joy in the fruit which I shall lay up unto myself against the time which will soon come.",77
New Testament,Matthew,25,1,9,"Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet the bridegroom.",46
New Testament,Matthew,25,2,9,"And five of them were wise, and five were foolish.",46
New Testament,Matthew,25,32,9,"And before him shall be gathered all nations: and he shall separate them one from another, as a shepherd divideth his sheep from the goats:",46
New Testament,Matthew,25,33,9,"And he shall set the sheep on his right hand, but the goats on the left.",46
New Testament,Matthew,25,9,9,"But the wise answered, saying, Not so; lest there be not enough for us and you: but go ye rather to them that sell, and buy for yourselves.",46
Doctrine and Covenants,Doctrine and Covenants,76,53,9,"And who overcome by faith, and are sealed by the Holy Spirit of promise, which the Father sheds forth upon all those who are just and true.",119
Book of Mormon,Helaman,5,30,9,"And it came to pass when they heard this voice, and beheld that it was not a voice of thunder, neither was it a voice of a great tumultuous noise, but behold, it was a still voice of perfect mildness, as if it had been a whisper, and it did pierce even to the very soul—",52
New Testament,John,15,4,9,"Abide in me, and I in you. As the branch cannot bear fruit of itself, except it abide in the vine; no more can ye, except ye abide in me.",27
Doctrine and Covenants,Doctrine and Covenants,115,4,9,"For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints.",19
Doctrine and Covenants,Doctrine and Covenants,115,6,9,"And that the gathering together upon the land of Zion, and upon her stakes, may be for a defense, and for a refuge from the storm, and from wrath when it shall be poured out without mixture upon the whole earth.",19
New Testament,Luke,2,52,9,"And Jesus increased in wisdom and stature, and in favour with God and man.",52
Doctrine and Covenants,Doctrine and Covenants,121,2,9,"How long shall thy hand be stayed, and thine eye, yea thy pure eye, behold from the eternal heavens the wrongs of thy people and of thy servants, and thine ear be penetrated with their cries?",46
Book of Mormon,2 Nephi,2,14,9,"And now, my sons, I speak unto you these things for your profit and learning; for there is a God, and he hath created all things, both the heavens and the earth, and all things that in them are, both things to act and things to be acted upon.",30
New Testament,Matthew,25,3,9,"They that were foolish took their lamps, and took no oil with them:",46
New Testament,Matthew,25,4,9,But the wise took oil in their vessels with their lamps.,46
Doctrine and Covenants,Doctrine and Covenants,131,1,9,In the celestial glory there are three heavens or degrees;,8
Doctrine and Covenants,Doctrine and Covenants,131,2,9,"And in order to obtain the highest, a man must enter into this order of the priesthood [meaning the new and everlasting covenant of marriage];",8
Doctrine and Covenants,Doctrine and Covenants,131,3,9,"And if he does not, he cannot obtain it.",8
Book of Mormon,Alma,42,9,9,"Therefore, as the soul could never die, and the fall had brought upon all mankind a spiritual death as well as a temporal, that is, they were cut off from the presence of the Lord, it was expedient that mankind should be reclaimed from this spiritual death.",31
Book of Mormon,Alma,42,11,9,"And now remember, my son, if it were not for the plan of redemption, (laying it aside) as soon as they were dead their souls were miserable, being cut off from the presence of the Lord.",31
Pearl of Great Price,Moses,4,2,9,"But, behold, my Beloved Son, which was my Beloved and Chosen from the beginning, said unto me—Father, thy will be done, and the glory be thine forever.",32
Doctrine and Covenants,Doctrine and Covenants,20,17,9,"By these things we know that there is a God in heaven, who is infinite and eternal, from everlasting to everlasting the same unchangeable God, the framer of heaven and earth, and all things which are in them;",84
Doctrine and Covenants,Doctrine and Covenants,20,18,9,"And that he created man, male and female, after his own image and in his own likeness, created he them;",84
Book of Mormon,2 Nephi,9,21,9,"And he cometh into the world that he may save all men if they will hearken unto his voice; for behold, he suffereth the pains of all men, yea, the pains of every living creature, both men, women, and children, who belong to the family of Adam.",54
New Testament,Matthew,14,27,9,"But straightway Jesus spake unto them, saying, Be of good cheer; it is I; be not afraid.",36
New Testament,Matthew,14,29,9,"And he said, Come. And when Peter was come down out of the ship, he walked on the water, to go to Jesus.",36
New Testament,Matthew,14,30,9,"But when he saw the wind boisterous, he was afraid; and beginning to sink, he cried, saying, Lord, save me.",36
New Testament,Matthew,16,16,9,"And Simon Peter answered and said, Thou art the Christ, the Son of the living God.",28
Book of Mormon,Alma,36,25,9,"Yea, and now behold, O my son, the Lord doth give me exceedingly great joy in the fruit of my labors;",30
Book of Mormon,Alma,36,27,9,"And I have been supported under trials and troubles of every kind, yea, and in all manner of afflictions; yea, God has delivered me from prison, and from bonds, and from death; yea, and I do put my trust in him, and he will still deliver me.",30
Doctrine and Covenants,Doctrine and Covenants,20,30,9,And we know that justification through the grace of our Lord and Savior Jesus Christ is just and true;,84
Doctrine and Covenants,Doctrine and Covenants,20,4,9,"And this according to the grace of our Lord and Savior Jesus Christ, to whom be all glory, both now and forever. Amen.",84
Doctrine and Covenants,Doctrine and Covenants,88,73,9,"Behold, I will hasten my work in its time.",141
